Datetime,Search,Article_Count,Stock_value,Pos_Words,Neg_Words,YouTube_Vids,YT_Pos_Words,YT_Neg_Words
29:31.4,disney,18,156.7599945,,,,,
35:58.6,disney,15,156.7599945,,,,,
42:43.4,disney,16,156.7599945,,,,,
49:28.8,disney,13,156.7599945,,,,,
54:57.9,disney,13,156.7599945,,,,,
02:59.2,disney,14,156.7599945,,,,,
08:29.0,disney,11,156.7599945,,,,,
15:15.5,disney,11,156.7599945,,,,,
22:00.4,disney,14,156.7599945,,,,,
30:55.2,disney,14,156.7599945,,,,,
36:24.8,disney,18,156.7599945,,,,,
43:10.1,disney,15,156.7599945,,,,,
49:46.8,disney,16,156.7599945,,,,,
56:07.2,disney,14,156.7599945,,,,,
01:36.8,disney,24,156.7599945,,,,,
07:10.4,disney,35,156.7599945,,,,,
12:44.3,disney,36,156.7599945,,,,,
18:13.9,disney,36,156.7599945,,,,,
23:43.8,disney,34,156.7599945,,,,,
29:15.9,disney,35,156.7599945,,,,,
34:46.8,disney,36,159.9546051,,,,,
40:16.4,disney,36,159.6799927,,,,,
45:46.6,disney,34,158.9600067,,,,,
52:11.4,disney,35,158.9299011,,,,,
57:44.0,disney,30,158.5299072,,,,,
04:07.6,disney,22,158.25,,,,,
09:38.9,disney,27,158.3099976,,,,,
17:23.6,disney,34,158.0500031,,,,,
26:41.2,disney,32,158.2799988,,,,,
32:13.4,disney,34,158.3000031,,,,,
38:59.4,disney,31,157.9062042,,,,,
44:30.4,disney,34,157.7400055,,,,,
51:14.5,disney,32,157.8899994,,,,,
59:16.3,disney,34,157.3500061,,,,,
04:46.3,disney,34,156.9299011,,,,,
10:17.1,disney,34,157.3200073,,,,,
15:48.5,disney,34,156.9598999,,,,,
21:19.5,disney,35,157.2299957,,,,,
29:21.7,disney,33,157.2400055,,,,,
36:07.9,disney,34,157.1000061,,,,,
42:54.2,disney,35,156.9499969,,,,,
49:39.9,disney,34,157.3200073,,,,,
56:24.6,disney,34,157.4600067,,,,,
03:17.2,disney,40,157.4450073,,,,,
08:50.1,disney,34,157.5590057,,,,,
15:25.6,disney,35,157.7350006,,,,,
20:56.6,disney,35,157.6100006,,,,,
27:37.5,disney,36,157.6201019,,,,,
34:10.1,disney,33,157.5500031,,,,,
40:28.9,disney,31,157.6300049,,,,,
47:15.4,disney,25,157.6150055,,,,,
54:01.0,disney,23,157.3600006,,,,,
00:21.6,disney,30,157.4400024,,,,,
05:55.3,disney,31,157.302002,,,,,
11:26.5,disney,33,157.3899994,,,,,
17:50.4,disney,34,157.2250061,,,,,
24:09.1,disney,30,157.0800018,,,,,
29:40.7,disney,34,157,,,,,
38:51.9,disney,38,157.009903,,,,,
44:35.2,disney,38,156.9799957,,,,,
50:05.7,disney,36,157.1450043,,,,,
58:43.3,disney,33,156.6280975,,,,,
04:24.5,disney,37,156.5455017,,,,,
17:03.4,disney,33,156.4552002,,,,,
22:34.7,disney,30,156.4149933,,,,,
29:05.1,disney,22,156.3999939,,,,,
35:51.6,disney,23,156.4900055,,,,,
41:21.5,disney,30,156.4501038,,,,,
46:51.6,disney,28,156.3600006,,,,,
53:36.1,disney,24,156.3500061,,,,,
00:23.2,disney,37,156.3800049,,,,,
07:41.8,disney,33,156.3049927,,,,,
13:15.4,disney,35,156.2850037,,,,,
20:02.1,disney,30,156.2890015,,,,,
25:32.7,disney,35,156.5328979,,,,,
34:00.6,disney,29,156.5299988,,,,,
39:30.7,disney,26,156.3468933,,,,,
45:00.4,disney,29,156.2949982,,,,,
51:19.0,disney,27,156.2050018,,,,,
56:49.2,disney,24,155.6999969,,,,,
03:11.3,disney,31,155.6900024,,,,,
09:55.3,disney,32,155.6900024,,,,,
16:18.3,disney,31,155.7299957,,,,,
23:16.0,disney,33,155.7299957,,,,,
28:50.7,disney,32,155.7299957,,,,,
34:21.2,disney,29,155.7299957,,,,,
40:46.4,disney,32,155.7299957,,,,,
46:17.5,disney,30,155.7299957,,,,,
52:41.7,disney,29,155.7299957,,,,,
58:15.9,disney,27,155.7299957,,,,,
07:29.6,disney,40,155.7299957,,,,,
14:15.4,disney,42,155.7299957,,,,,
19:46.4,disney,36,155.7299957,,,,,
25:17.6,disney,36,155.7299957,,,,,
32:04.3,disney,33,155.7299957,,,,,
37:35.7,disney,28,155.7299957,,,,,
45:39.6,disney,31,155.7299957,,,,,
51:10.4,disney,27,155.7299957,,,,,
56:40.0,disney,27,155.7299957,,,,,
03:11.3,disney,32,155.7299957,,,,,
09:33.1,disney,32,155.7299957,,,,,
16:13.1,disney,34,155.7299957,,,,,
21:45.1,disney,31,155.7299957,,,,,
28:32.3,disney,30,155.7299957,,,,,
36:26.7,disney,26,155.7299957,,,,,
43:16.9,disney,21,155.7299957,,,,,
48:47.5,disney,17,155.7299957,,,,,
54:22.2,disney,16,155.7299957,,,,,
59:53.0,disney,12,155.7299957,,,,,
06:16.7,disney,19,155.7299957,,,,,
13:03.1,disney,15,155.7299957,,,,,
20:40.9,disney,16,155.7299957,,,,,
27:11.0,disney,13,155.7299957,,,,,
32:40.6,disney,14,155.7299957,,,,,
39:03.5,disney,17,155.7299957,,,,,
47:06.3,disney,21,155.7299957,,,,,
53:26.9,disney,18,155.7299957,,,,,
59:51.7,disney,16,155.7299957,,,,,
06:19.6,disney,16,155.7299957,,,,,
13:05.8,disney,20,155.7299957,,,,,
21:04.8,disney,20,155.7299957,,,,,
27:29.8,disney,17,155.7299957,,,,,
33:02.3,disney,14,155.7299957,,,,,
38:31.4,disney,13,155.7299957,,,,,
46:30.3,disney,9,155.7299957,,,,,
53:14.2,disney,11,155.7299957,,,,,
59:33.8,disney,13,155.7299957,,,,,
05:02.1,disney,17,155.7299957,,,,,
10:30.5,disney,17,155.7299957,,,,,
15:59.3,disney,15,155.7299957,,,,,
22:42.1,disney,15,155.7299957,,,,,
29:27.8,disney,13,155.7299957,,,,,
34:56.3,disney,11,155.7299957,,,,,
40:25.2,disney,10,155.7299957,,,,,
45:53.8,disney,8,155.7299957,,,,,
51:21.6,disney,8,155.7299957,,,,,
56:49.0,disney,11,155.7299957,,,,,
03:34.8,disney,10,155.7299957,,,,,
11:34.4,disney,10,155.7299957,,,,,
17:03.6,disney,11,155.7299957,,,,,
23:48.5,disney,12,155.7299957,,,,,
31:49.7,disney,13,155.7299957,,,,,
37:19.9,disney,14,155.7299957,,,,,
42:48.2,disney,13,155.7299957,,,,,
50:40.4,disney,13,155.7299957,,,,,
57:28.1,disney,13,155.7299957,,,,,
02:58.3,disney,13,155.7299957,,,,,
08:29.3,disney,11,155.7299957,,,,,
14:01.6,disney,9,155.7299957,,,,,
22:03.5,disney,9,155.7299957,,,,,
27:36.5,disney,9,155.7299957,,,,,
33:05.8,disney,9,155.7299957,,,,,
38:38.3,disney,8,155.7299957,,,,,
44:08.7,disney,9,155.7299957,,,,,
49:39.0,disney,7,155.7299957,,,,,
55:14.9,disney,7,155.7299957,,,,,
02:04.2,disney,11,155.7299957,,,,,
07:38.4,disney,10,155.7299957,,,,,
13:11.5,disney,13,155.7299957,,,,,
18:46.2,disney,9,155.7299957,,,,,
24:18.2,disney,9,155.7299957,,,,,
29:48.7,disney,11,155.7299957,,,,,
35:17.4,disney,11,155.7299957,,,,,
40:47.3,disney,12,155.7299957,,,,,
46:16.8,disney,14,155.7299957,,,,,
51:46.1,disney,13,155.7299957,,,,,
57:16.1,disney,13,155.7299957,,,,,
02:44.9,disney,17,155.7299957,,,,,
08:13.7,disney,14,155.7299957,,,,,
13:45.8,disney,14,155.7299957,,,,,
19:14.6,disney,13,155.7299957,,,,,
24:44.5,disney,14,155.7299957,,,,,
30:13.8,disney,11,155.7299957,,,,,
35:42.2,disney,12,155.7299957,,,,,
41:10.3,disney,12,155.7299957,,,,,
47:53.8,disney,12,155.7299957,,,,,
54:39.8,disney,11,155.7299957,,,,,
00:13.6,disney,12,155.7299957,,,,,
05:54.8,disney,12,155.7299957,,,,,
11:27.7,disney,10,155.7299957,,,,,
16:59.0,disney,11,155.7299957,,,,,
22:29.4,disney,15,155.7299957,,,,,
28:58.3,disney,16,155.7299957,,,,,
35:26.4,disney,13,155.7299957,,,,,
40:55.1,disney,19,155.7299957,,,,,
46:24.6,disney,21,155.7299957,,,,,
53:09.6,disney,20,155.7299957,,,,,
58:38.5,disney,19,155.7299957,,,,,
06:19.0,disney,24,155.7299957,,,,,
14:21.2,disney,28,155.7299957,,,,,
19:50.2,disney,26,155.7299957,,,,,
25:19.3,disney,23,155.7299957,,,,,
30:48.7,disney,20,155.7299957,,,,,
39:23.3,disney,18,155.7299957,,,,,
44:51.6,disney,13,155.7299957,,,,,
50:20.2,disney,11,155.7299957,,,,,
56:49.9,disney,11,155.7299957,,,,,
03:08.7,disney,14,155.7299957,,,,,
08:40.3,disney,10,155.7299957,,,,,
15:25.4,disney,7,155.7299957,,,,,
22:11.1,disney,8,155.7299957,,,,,
27:40.6,disney,8,155.7299957,,,,,
33:09.6,disney,10,155.7299957,,,,,
38:38.4,disney,9,155.7299957,,,,,
46:52.4,disney,10,155.7299957,,,,,
52:23.3,disney,10,155.7299957,,,,,
00:12.5,disney,17,155.7299957,,,,,
06:57.0,disney,20,155.7299957,,,,,
13:16.3,disney,21,155.7299957,,,,,
18:45.8,disney,21,155.7299957,,,,,
24:18.6,disney,21,155.7299957,,,,,
31:03.0,disney,23,155.7299957,,,,,
36:33.2,disney,21,155.7299957,,,,,
42:01.9,disney,22,155.7299957,,,,,
48:33.0,disney,24,155.7299957,,,,,
54:04.0,disney,25,155.7299957,,,,,
00:47.7,disney,25,155.7299957,,,,,
07:34.1,disney,24,155.7299957,,,,,
14:21.0,disney,24,155.7299957,,,,,
19:50.1,disney,24,155.7299957,,,,,
25:20.6,disney,27,155.7299957,,,,,
30:51.1,disney,22,155.7299957,,,,,
37:36.7,disney,22,155.7299957,,,,,
43:06.2,disney,22,155.7299957,,,,,
48:36.4,disney,19,155.7299957,,,,,
54:08.4,disney,22,155.7299957,,,,,
59:38.3,disney,18,155.7299957,,,,,
05:09.2,disney,23,155.7299957,,,,,
10:40.3,disney,23,155.7299957,,,,,
16:12.2,disney,19,155.7299957,,,,,
21:43.4,disney,22,155.7299957,,,,,
28:30.0,disney,23,155.7299957,,,,,
34:02.8,disney,22,155.7299957,,,,,
39:35.2,disney,22,155.7299957,,,,,
45:04.8,disney,20,155.7299957,,,,,
50:35.7,disney,21,155.7299957,,,,,
59:52.8,disney,22,155.7299957,,,,,
05:25.5,disney,27,155.7299957,,,,,
10:58.3,disney,25,155.7299957,,,,,
16:30.2,disney,25,155.7299957,,,,,
23:18.1,disney,25,155.7299957,,,,,
28:50.5,disney,20,155.7299957,,,,,
35:42.9,disney,21,155.7299957,,,,,
42:13.7,disney,25,155.7299957,,,,,
47:45.1,disney,23,155.7299957,,,,,
55:49.9,disney,23,155.7299957,,,,,
01:20.4,disney,26,155.7299957,,,,,
09:07.6,disney,26,155.7299957,,,,,
14:40.6,disney,22,155.7299957,,,,,
20:11.3,disney,20,155.7299957,,,,,
25:43.8,disney,19,155.7299957,,,,,
31:14.6,disney,17,156.4400024,,,,,
36:44.3,disney,17,157.2799988,,,,,
42:13.6,disney,15,157.7763062,,,,,
47:38.9,disney,18,158.1188049,,,,,
53:09.5,disney,20,157.9598999,,,,,
58:39.6,disney,24,157.6999969,,,,,
04:09.5,disney,31,157.9600067,,,,,
09:43.4,disney,36,158.0614929,,,,,
16:30.0,disney,38,158.6000061,,,,,
23:00.8,disney,35,159.0135956,,,,,
28:32.2,disney,35,158.9799957,,,,,
34:04.8,disney,36,158.5016022,,,,,
39:38.6,disney,38,158.2700043,,,,,
45:09.1,disney,33,158.6399994,,,,,
50:39.1,disney,30,158.6799927,,,,,
56:09.3,disney,30,159.2200012,,,,,
01:41.3,disney,44,159.0899963,,,,,
08:28.3,disney,42,158.5890961,,,,,
15:15.4,disney,39,158.3099976,,,,,
22:02.2,disney,37,158.2400055,,,,,
27:34.1,disney,37,158.2700043,,,,,
33:03.9,disney,39,158.1900024,,,,,
38:33.8,disney,41,158.3899994,,,,,
45:19.1,disney,40,158.25,,,,,
50:48.8,disney,36,157.9600067,,,,,
56:19.0,disney,36,157.8500061,,,,,
03:37.6,disney,40,158.1000977,,,,,
10:01.1,disney,44,158.25,,,,,
15:32.8,disney,46,158.0500031,,,,,
21:10.5,disney,44,158.0800018,,,,,
27:34.2,disney,39,158.1399994,,,,,
35:16.3,disney,38,158.2899933,,,,,
41:49.4,disney,37,158.2149963,,,,,
48:22.1,disney,34,158.0800018,,,,,
53:54.3,disney,31,158.107193,,,,,
01:47.2,disney,42,157.9299927,,,,,
07:18.2,disney,38,157.8182983,,,,,
12:52.1,disney,43,157.5800018,,,,,
19:28.3,disney,38,157.8300018,,,,,
25:03.2,disney,37,157.9450073,,,,,
31:39.4,disney,39,158.0599976,,,,,
37:11.0,disney,43,158.0299988,,,,,
42:41.6,disney,42,157.7899933,,,,,
48:15.4,disney,41,157.7599945,,,,,
53:45.3,disney,35,157.7949982,,,,,
00:08.4,disney,45,157.9199982,,,,,
06:54.5,disney,47,157.6399994,,,,,
12:24.8,disney,47,157.4499969,,,,,
20:25.9,disney,36,157.050293,,,,,
25:55.7,disney,34,156.9850006,,,,,
31:25.9,disney,32,157.0899963,,,,,
39:18.4,disney,26,156.6100006,,,,,
47:57.1,disney,30,156.1199951,,,,,
56:08.9,disney,30,156.25,,,,,
02:30.2,disney,34,156.1123047,,,,,
09:01.0,disney,33,155.9100037,,,,,
14:30.9,disney,32,156.4299927,,,,,
26:21.4,disney,32,156.1150055,,,,,
32:51.6,disney,31,155.7899933,,,,,
38:23.0,disney,26,156.0500031,,,,,
44:49.5,disney,23,155.8000031,,,,,
50:22.5,disney,20,155.7400055,,,,,
57:06.8,disney,17,155.2850037,,,,,
03:28.5,disney,32,155.3000031,,,,,
09:59.4,disney,31,155.3000031,,,,,
15:30.5,disney,27,155.1900024,,,,,
21:01.7,disney,23,155.1900024,,,,,
26:32.6,disney,24,155.1900024,,,,,
32:03.8,disney,26,155.1900024,,,,,
37:35.3,disney,29,155.1900024,,,,,
44:22.9,disney,30,155.1900024,,,,,
51:09.2,disney,25,155.1900024,,,,,
57:28.3,disney,28,155.1900024,,,,,
03:49.9,disney,44,155.1900024,,,,,
09:36.9,disney,39,155.1900024,,,,,
16:17.4,disney,34,155.1900024,,,,,
21:48.0,disney,33,155.1900024,,,,,
32:19.8,disney,22,155.1900024,,,,,
37:51.1,disney,18,155.1900024,6,1,,,
43:22.5,disney,15,155.1900024,3,1,,,
52:42.1,disney,13,155.1900024,3,0,,,
58:13.3,disney,11,155.1900024,2,0,,,
06:16.3,disney,26,155.1900024,4,1,,,
11:48.8,disney,23,155.1900024,3,2,,,
18:11.1,disney,19,155.1900024,2,2,,,
24:30.5,disney,18,155.1900024,2,2,,,
30:55.8,disney,16,155.1900024,1,2,,,
39:07.2,disney,17,155.1900024,2,2,,,
45:53.5,disney,17,155.1900024,1,3,,,
19:30.5,disney,18,155.1900024,0,2,,,
25:19.9,disney,19,155.1900024,0,2,,,
31:03.8,disney,21,155.1900024,0,2,,,
36:47.7,disney,20,155.1900024,0,3,,,
44:01.3,disney,15,155.1900024,0,1,,,
50:59.3,disney,17,155.1900024,1,2,,,
56:38.9,disney,18,155.1900024,0,2,,,
02:25.5,disney,18,155.1900024,3,3,,,
12:04.9,disney,17,155.1900024,3,2,,,
21:36.7,disney,13,155.1900024,2,1,,,
27:19.2,disney,13,155.1900024,2,1,,,
35:34.8,disney,12,155.1900024,3,0,,,
42:36.0,disney,15,155.1900024,4,0,,,
48:27.3,disney,14,155.1900024,4,0,,,
55:42.2,disney,15,155.1900024,4,0,,,
01:25.9,disney,14,155.1900024,2,0,,,
07:10.3,disney,14,155.1900024,2,0,,,
12:54.4,disney,15,155.1900024,2,0,,,
18:38.9,disney,16,155.1900024,2,2,,,
24:26.3,disney,17,155.1900024,3,4,,,
30:09.3,disney,14,155.1900024,2,3,,,
38:27.1,disney,9,155.1900024,1,2,,,
45:43.9,disney,8,155.1900024,1,2,,,
52:45.0,disney,6,155.1900024,1,2,,,
58:35.8,disney,6,155.1900024,1,0,,,
04:23.6,disney,7,155.1900024,1,2,,,
12:30.3,disney,10,155.1900024,3,3,,,
19:35.6,disney,9,155.1900024,3,3,,,
27:26.6,disney,14,155.1900024,5,4,,,
35:40.1,disney,13,155.1900024,2,3,,,
43:14.8,disney,14,155.1900024,2,3,,,
48:59.0,disney,13,155.1900024,2,1,,,
54:41.8,disney,12,155.1900024,3,1,,,
01:40.8,disney,14,155.1900024,3,0,,,
07:22.1,disney,13,155.1900024,3,0,,,
21:16.5,disney,13,155.1900024,2,0,,,
28:13.2,disney,13,155.1900024,2,1,,,
33:52.7,disney,10,155.1900024,2,1,,,
44:44.7,disney,12,155.1900024,2,1,,,
51:43.2,disney,9,155.1900024,1,1,,,
59:05.9,disney,10,155.1900024,1,1,,,
05:07.0,disney,12,155.1900024,0,0,,,
10:50.8,disney,14,155.1900024,0,0,,,
18:08.7,disney,12,155.1900024,0,1,,,
23:49.6,disney,15,155.1900024,1,1,,,
29:30.6,disney,14,155.1900024,1,0,,,
35:15.1,disney,14,155.1900024,0,1,,,
40:56.1,disney,16,155.1900024,0,1,,,
47:55.2,disney,15,155.1900024,0,1,,,
53:35.3,disney,18,155.1900024,0,3,,,
00:47.3,disney,18,155.1900024,1,2,,,
06:29.8,disney,21,155.1900024,1,2,,,
13:47.9,disney,20,155.1900024,3,2,,,
21:24.4,disney,16,155.1900024,3,2,,,
28:41.7,disney,15,155.1900024,3,2,,,
39:22.1,disney,11,155.1900024,0,2,,,
49:20.0,disney,11,155.1900024,0,1,,,
57:45.0,disney,12,155.1900024,0,0,,,
04:42.2,disney,16,155.1900024,0,0,,,
10:26.2,disney,17,155.1900024,0,0,,,
17:24.7,disney,13,155.1900024,0,0,,,
26:53.2,disney,14,155.1900024,0,0,,,
32:35.6,disney,12,155.1900024,0,0,,,
39:34.4,disney,12,155.1900024,0,0,,,
46:34.5,disney,12,155.1900024,0,0,,,
