2022-01-10 13:08:12.211536,universal+studios,2,56.189998626708984,0,1
2022-01-10 13:09:36.858355,universal+studios,1,56.189998626708984,0,0
2022-01-10 13:18:16.490975,universal+studios,1,56.07500076293945,0,1
2022-01-10 13:23:49.332175,universal+studios,2,56.13999938964844,1,1
2022-01-10 13:30:37.254532,universal+studios,2,56.09000015258789,1,1
2022-01-10 13:36:11.948642,universal+studios,2,56.0,1,1
2022-01-10 13:42:54.784414,universal+studios,3,55.90999984741211,1,1
2022-01-10 13:48:25.357196,universal+studios,4,56.03900146484375,1,1
2022-01-10 13:56:10.592765,universal+studios,4,56.17499923706055,1,1
2022-01-10 14:03:27.446826,universal+studios,4,56.02000045776367,1,0
2022-01-10 14:10:13.703753,universal+studios,6,56.02000045776367,2,0
2022-01-10 14:15:43.634552,universal+studios,7,56.0099983215332,2,1
2022-01-10 14:21:14.370033,universal+studios,6,56.0099983215332,1,1
2022-01-10 14:26:42.283138,universal+studios,7,56.0099983215332,1,1
2022-01-10 14:32:12.608975,universal+studios,7,56.0099983215332,1,1
2022-01-10 14:37:41.302304,universal+studios,6,56.0099983215332,1,1
2022-01-10 14:43:12.753275,universal+studios,5,56.0099983215332,1,1
2022-01-10 14:48:41.168204,universal+studios,4,56.0099983215332,0,1
2022-01-10 14:56:41.482421,universal+studios,4,56.0099983215332,0,1
2022-01-10 15:03:51.950562,universal+studios,2,56.0099983215332,0,0
2022-01-10 15:13:34.889305,universal+studios,2,56.0099983215332,0,0
2022-01-10 15:20:48.175116,universal+studios,1,56.0099983215332,0,0
2022-01-10 15:27:57.817785,universal+studios,1,56.0099983215332,0,0
2022-01-10 15:35:07.278897,universal+studios,2,56.0099983215332,0,0
2022-01-10 15:43:22.212666,universal+studios,2,56.0099983215332,0,0,8
2022-01-10 15:51:40.184110,universal+studios,2,56.0099983215332,0,0,9
2022-01-10 15:59:46.077520,universal+studios,2,56.0099983215332,1,0,12
2022-01-10 16:08:03.872655,universal+studios,2,56.0099983215332,1,0,12
2022-01-10 16:15:25.643825,universal+studios,3,56.0099983215332,1,0,12
2022-01-10 16:21:15.718266,universal+studios,5,56.0099983215332,1,0,14
2022-01-10 16:31:33.641365,universal+studios,5,56.0099983215332,1,0,19
2022-01-10 16:40:21.122591,universal+studios,5,56.0099983215332,1,0,18
2022-01-10 16:47:33.639134,universal+studios,4,56.0099983215332,1,0,20
2022-01-10 16:56:18.158750,universal+studios,2,56.0099983215332,0,0,20
2022-01-10 17:11:37.668154,universal+studios,1,56.0099983215332,0,0,18
2022-01-10 19:17:49.438639,universal+studios,1,56.0099983215332,0,0,20
2022-01-10 21:58:33.537342,universal+studios,2,56.0099983215332,1,0,20
2022-01-11 08:43:01.524351,universal+studios,2,55.54999923706055,0,0,20
2022-01-11 08:49:17.971992,universal+studios,2,55.65999984741211,0,0,20
2022-01-11 08:57:33.953749,universal+studios,2,55.540000915527344,0,0,17
2022-01-11 09:03:21.007281,universal+studios,5,55.59000015258789,1,0,15
2022-01-11 09:12:28.127166,universal+studios,5,55.52000045776367,1,0,18
2022-01-11 09:19:56.747969,universal+studios,6,55.5099983215332,1,0,16
2022-01-11 09:27:09.866288,universal+studios,8,55.560001373291016,2,0,15
2022-01-11 09:40:29.891266,universal+studios,6,55.5099983215332,2,0,14
2022-01-11 09:47:53.050176,universal+studios,7,55.90999984741211,2,0,13
